group_pos,team,matches_played,matches_won,matches_tied,matches_lost,goals_for,goals_against,goal_difference,points,advanced_to_knockout,group
1,Mexico,3,3,0,0,6,0,6,9,1,A
2,South Africa,3,1,1,1,2,3,-1,4,1,A
3,South Korea,3,1,0,2,2,3,-1,3,0,A
4,Czech Republic,3,0,1,2,2,6,-4,1,0,A
1,Switzerland,3,2,1,0,7,3,4,7,1,B
2,Canada,3,1,1,1,8,3,5,4,1,B
3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,1,B
4,Qatar,3,0,1,2,2,10,-8,1,0,B
1,Brazil,3,2,1,0,7,1,6,7,1,C
2,Morocco,3,2,1,0,6,3,3,7,1,C
3,Scotland,3,1,0,2,1,4,-3,3,0,C
4,Haiti,3,0,0,3,2,8,-6,0,0,C
1,United States,3,2,0,1,8,4,4,6,1,D
2,Australia,3,1,1,1,2,2,0,4,1,D
3,Paraguay,3,1,1,1,2,4,-2,4,1,D
4,Turkey,3,1,0,2,3,5,-2,3,0,D
1,Germany,3,2,0,1,10,4,6,6,1,E
2,Ivory Coast,3,2,0,1,4,2,2,6,1,E
3,Ecuador,3,1,1,1,2,2,0,4,1,E
4,Curacao,3,0,1,2,1,9,-8,1,0,E
1,Netherlands,3,2,1,0,10,4,6,7,1,F
2,Japan,3,1,2,0,7,3,4,5,1,F
3,Sweden,3,1,1,1,7,7,0,4,1,F
4,Tunisia,3,0,0,3,2,12,-10,0,0,F
1,Belgium,3,1,2,0,6,2,4,5,1,G
2,Egypt,3,1,2,0,5,3,2,5,1,G
3,Iran,3,0,3,0,3,3,0,3,0,G
4,New Zealand,3,0,1,2,4,10,-6,1,0,G
1,Spain,3,2,1,0,5,0,5,7,1,H
2,Cape Verde,3,0,3,0,2,2,0,3,1,H
3,Uruguay,3,0,2,1,3,4,-1,2,0,H
4,Saudi Arabia,3,0,2,1,1,5,-4,2,0,H
1,France,3,3,0,0,10,2,8,9,1,I
2,Norway,3,2,0,1,8,7,1,6,1,I
3,Senegal,3,1,0,2,8,6,2,3,1,I
4,Iraq,3,0,0,3,1,12,-11,0,0,I
1,Argentina,3,3,0,0,8,1,7,9,1,J
2,Austria,3,1,1,1,6,6,0,4,1,J
3,Algeria,3,1,1,1,5,7,-2,4,1,J
4,Jordan,3,0,0,3,3,8,-5,0,0,J
1,Colombia,3,2,1,0,4,1,3,7,1,K
2,Portugal,3,1,2,0,6,1,5,5,1,K
3,DR Congo,3,1,1,1,4,3,1,4,1,K
4,Uzbekistan,3,0,0,3,2,11,-9,0,0,K
1,England,3,2,1,0,6,2,4,7,1,L
2,Croatia,3,2,0,1,5,5,0,6,1,L
3,Ghana,3,1,1,1,2,2,0,4,1,L
4,Panama,3,0,0,3,0,4,-4,0,0,L
