city,stadium_name,total_matches,capacity,group_matches,knockout_matches
Mexico City,Estadio Azteca,5,80824,3,2
New York/New Jersey,MetLife Stadium,8,80663,5,2
Dallas,AT&T Stadium,9,70649,5,4
Los Angeles,SoFi Stadium,8,70492,5,3
Kansas City,Arrowhead Stadium,6,69045,4,2
San Francisco Bay Area,Levi's Stadium,6,68827,5,1
Houston,NRG Stadium,7,68777,5,2
Philadelphia,Lincoln Financial Field,6,68324,5,1
Atlanta,Mercedes-Benz Stadium,8,68239,5,3
Seattle,Lumen Field,6,66925,4,2
Miami,Hard Rock Stadium,7,64478,4,2
Boston,Gillette Stadium,7,64146,5,2
Vancouver,BC Place,7,52497,5,2
Monterrey,Estadio BBVA,4,51243,3,1
Guadalajara,Estadio Akron,4,45664,4,0
Toronto,BMO Field,6,43036,5,1
