"rank","player_id","player","teams","goals","edition_breakdown"
"1","kylian-mbappe","Kylian Mbappé","France","22","2018:4|2022:8|2026:10"
"2","lionel-messi","Lionel Messi","Argentina","21","2006:1|2014:4|2018:1|2022:7|2026:8"
"3","miroslav-klose","Miroslav Klose","Germany","16","2002:5|2006:5|2010:4|2014:2"
"4","ronaldo","Ronaldo","Brazil","15","1998:4|2002:8|2006:3"
"5","gerd-muller","Gerd Müller","West Germany","14","1970:10|1974:4"
"6","harry-kane","Harry Kane","England","14","2018:6|2022:2|2026:6"
"7","just-fontaine","Just Fontaine","France","13","1958:13"
"8","pele","Pelé","Brazil","12","1958:6|1962:1|1966:1|1970:4"
"9","cristiano-ronaldo","Cristiano Ronaldo","Portugal","11","2006:1|2010:1|2014:1|2018:4|2022:1|2026:3"
"10","jurgen-klinsmann","Jürgen Klinsmann","West Germany / Germany","11","1990:3|1994:5|1998:3"
"11","sandor-kocsis","Sándor Kocsis","Hungary","11","1954:11"
"12","gabriel-batistuta","Gabriel Batistuta","Argentina","10","1994:4|1998:5|2002:1"
"13","gary-lineker","Gary Lineker","England","10","1986:6|1990:4"
"14","grzegorz-lato","Grzegorz Lato","Poland","10","1974:7|1978:2|1982:1"
"15","helmut-rahn","Helmut Rahn","West Germany","10","1954:4|1958:6"
"16","teofilo-cubillas","Teófilo Cubillas","Peru","10","1970:5|1978:5"
"17","thomas-muller","Thomas Müller","Germany","10","2010:5|2014:5"
"18","ademir","Ademir","Brazil","9","1950:9"
"19","christian-vieri","Christian Vieri","Italy","9","1998:5|2002:4"
"20","david-villa","David Villa","Spain","9","2006:3|2010:5|2014:1"
"21","eusebio","Eusébio","Portugal","9","1966:9"
"22","jairzinho","Jairzinho","Brazil","9","1970:7|1974:2"
"23","karl-heinz-rummenigge","Karl-Heinz Rummenigge","West Germany","9","1978:3|1982:5|1986:1"
"24","neymar","Neymar","Brazil","9","2014:4|2018:2|2022:2|2026:1"
"25","paolo-rossi","Paolo Rossi","Italy","9","1978:3|1982:6"
"26","roberto-baggio","Roberto Baggio","Italy","9","1990:2|1994:5|1998:2"
"27","uwe-seeler","Uwe Seeler","West Germany","9","1958:2|1962:2|1966:2|1970:3"
"28","vava","Vavá","Brazil","9","1958:5|1962:4"
"29","diego-maradona","Diego Maradona","Argentina","8","1982:2|1986:5|1994:1"
"30","guillermo-stabile","Guillermo Stábile","Argentina","8","1930:8"
"31","jude-bellingham","Jude Bellingham","England","8","2022:1|2026:7"
"32","leonidas","Leônidas","Brazil","8","1934:1|1938:7"
"33","oscar-miguez","Oscar Miguez","Uruguay","8","1950:5|1954:3"
"34","rivaldo","Rivaldo","Brazil","8","1998:3|2002:5"
"35","romelu-lukaku","Romelu Lukaku","Belgium","8","2014:1|2018:4|2026:3"
"36","rudi-voller","Rudi Völler","West Germany / Germany","8","1986:3|1990:3|1994:2"
"37","andrzej-szarmach","Andrzej Szarmach","Poland","7","1974:5|1978:1|1982:1"
"38","careca","Careca","Brazil","7","1986:5|1990:2"
"39","erling-haaland","Erling Haaland","Norway","7","2026:7"
"40","hans-schaefer","Hans Schaefer","West Germany","7","1954:4|1958:3"
"41","ivan-perisic","Ivan Perisic","Croatia","7","2014:2|2018:3|2022:1|2026:1"
"42","johnny-rep","Johnny Rep","Netherlands","7","1974:4|1978:3"
"43","lajos-tichy","Lajos Tichy","Hungary","7","1958:4|1962:3"
"44","luis-suarez","Luis Suarez","Uruguay","7","2010:3|2014:2|2018:2"
"45","oldrich-nejedly","Oldrich Nejedly","Czechoslovakia","7","1934:5|1938:2"
"46","arjen-robben","Arjen Robben","Netherlands","6","2006:1|2010:2|2014:3"
